Disease,Patient_Count,Severity_Score,PPEkits,Beds,Doctors,Ventilator,Oxygen Cylinder
Covid,162,1,12,31,9,0,7
Stroke,400,4,280,20,20,16,32
Pneumonia,191,1,87,17,8,1,26
Sepsis,291,3,57,18,15,6,78
Sepsis,130,3,66,84,9,6,54
Sepsis,72,1,61,45,4,1,9
Severe_Trauma,204,3,30,105,6,12,66
Stroke,424,2,26,82,8,8,40
Heart_Failure,181,2,94,88,2,2,42
Sepsis,368,2,160,62,6,4,12
Sepsis,139,1,27,25,1,2,27
Covid,491,3,240,15,3,6,66
Sepsis,145,1,73,12,1,2,21
Severe_Trauma,476,1,33,45,6,3,9
Sepsis,446,2,84,50,16,0,18
Severe_Trauma,68,4,304,108,8,16,60
Pneumonia,82,3,279,87,18,3,87
Sepsis,413,1,31,18,8,1,13
Sepsis,444,3,207,99,3,3,21
Covid,487,2,170,64,18,2,12
Stroke,263,2,180,94,6,4,22
Covid,441,2,80,18,6,4,46
Stroke,197,1,62,15,5,2,11
Stroke,429,3,207,63,9,9,69
Stroke,271,1,82,33,9,4,25
Covid,216,2,104,66,2,2,22
Covid,276,1,95,43,9,1,24
Stroke,457,2,114,70,2,6,22
Covid,136,3,285,33,27,3,87
Stroke,381,2,54,54,16,2,54
Stroke,280,4,380,52,36,4,28
Sepsis,201,2,56,86,6,4,44
Stroke,420,2,90,68,16,4,26
Severe_Trauma,366,4,104,88,28,0,56
Covid,169,1,45,15,7,3,15
Stroke,217,4,176,76,20,8,96
Covid,419,3,228,129,24,0,18
Heart_Failure,431,3,69,69,24,3,84
Pneumonia,194,4,368,104,24,4,80
Heart_Failure,174,3,294,78,24,6,87
Heart_Failure,456,1,44,26,7,2,5
Stroke,476,3,168,87,6,6,24
Stroke,56,2,80,10,16,0,16
Pneumonia,194,3,45,84,21,6,60
Heart_Failure,265,1,71,9,4,2,12
Covid,165,4,272,116,12,8,36
Pneumonia,198,1,23,32,8,1,18
Stroke,456,2,70,14,6,0,50
Stroke,350,1,38,49,5,1,13
Heart_Failure,138,2,96,50,2,6,50
Severe_Trauma,195,1,87,9,2,0,23
Sepsis,80,1,24,41,9,4,8
Sepsis,195,4,336,72,36,8,108
Covid,266,4,300,40,8,12,32
Pneumonia,174,3,240,48,9,0,57
Covid,281,2,124,44,14,2,50
Severe_Trauma,424,3,228,111,15,3,30
Severe_Trauma,132,1,88,10,9,2,26
Covid,411,3,87,129,18,9,60
Sepsis,210,2,196,96,8,4,40
Severe_Trauma,72,4,144,52,8,4,28
Stroke,182,4,180,96,8,12,88
Heart_Failure,131,4,176,140,16,8,112
Covid,478,3,180,51,24,9,63
Severe_Trauma,324,3,264,102,18,0,18
Severe_Trauma,109,3,105,114,15,0,60
Severe_Trauma,112,2,136,76,18,2,20
Stroke,291,3,180,144,15,6,39
Severe_Trauma,374,4,184,92,12,4,24
Pneumonia,467,3,90,30,24,12,39
Severe_Trauma,317,4,92,40,36,12,52
Severe_Trauma,164,2,84,94,16,4,12
Covid,80,3,108,24,15,6,84
Stroke,396,1,47,8,1,0,18
Stroke,125,2,150,76,18,8,54
Pneumonia,324,1,37,13,5,2,14
Sepsis,442,2,48,38,16,2,18
Sepsis,369,3,105,15,21,6,54
Covid,186,4,72,172,16,8,96
Sepsis,406,4,236,180,28,16,104
Pneumonia,426,1,58,45,8,1,25
Heart_Failure,224,3,246,114,24,3,33
Stroke,275,2,104,72,2,8,40
Sepsis,450,4,176,168,36,16,116
Covid,203,3,267,120,24,12,57
Pneumonia,435,3,198,42,3,6,84
Heart_Failure,349,4,112,20,28,8,84
Heart_Failure,77,2,174,20,6,2,52
Sepsis,111,1,19,48,4,3,12
Pneumonia,130,3,267,117,24,6,33
Pneumonia,466,1,74,39,1,2,17
Stroke,65,3,192,96,18,12,51
Stroke,349,2,134,40,14,4,30
Covid,54,1,24,36,4,1,16
Heart_Failure,52,1,43,33,7,2,25
Covid,391,2,94,90,14,4,52
Heart_Failure,461,3,207,51,9,9,45
Severe_Trauma,308,3,63,36,24,12,18
Stroke,447,2,166,88,18,8,34
Heart_Failure,70,2,162,86,12,4,20
Heart_Failure,140,2,154,96,18,8,42
Severe_Trauma,60,4,80,48,20,12,100
Sepsis,271,3,171,48,15,6,24
Severe_Trauma,153,4,316,136,4,4,52
Pneumonia,90,3,36,48,27,12,57
Covid,435,3,282,96,15,3,21
Heart_Failure,79,3,168,51,9,9,72
Heart_Failure,206,1,85,34,4,0,11
Severe_Trauma,247,4,52,196,20,8,32
Pneumonia,325,2,146,82,6,4,54
Severe_Trauma,379,3,72,27,9,3,18
Covid,423,2,20,90,18,6,10
Pneumonia,186,4,88,164,24,8,72
Covid,194,3,39,87,27,3,21
Severe_Trauma,463,2,82,12,12,8,14
Covid,376,3,36,69,21,0,60
Pneumonia,326,1,59,10,4,1,27
Stroke,116,1,47,49,7,2,11
Heart_Failure,340,4,60,184,36,16,40
Covid,129,3,246,30,6,3,42
Sepsis,167,3,207,54,21,0,36
Severe_Trauma,489,1,36,10,1,2,27
Sepsis,456,3,117,111,6,9,45
Heart_Failure,327,3,216,54,24,9,27
Sepsis,463,3,225,30,24,0,63
Severe_Trauma,207,1,80,5,5,4,28
Covid,80,1,43,35,5,0,17
Covid,69,3,198,87,3,12,18
Pneumonia,126,1,38,11,2,3,10
Covid,363,1,54,34,9,4,11
Stroke,268,4,220,168,32,0,96
Pneumonia,81,2,64,34,6,6,36
Severe_Trauma,172,1,99,7,4,0,10
Sepsis,192,4,136,112,24,0,104
Pneumonia,336,4,232,28,32,12,56
Stroke,488,1,27,27,9,1,21
Stroke,87,3,231,144,18,9,39
Heart_Failure,222,4,280,52,32,4,40
Severe_Trauma,405,1,74,46,4,2,10
Severe_Trauma,202,2,64,52,8,4,26
Heart_Failure,130,1,41,33,4,0,9
Pneumonia,186,1,21,40,5,0,28
Covid,390,1,64,42,3,0,13
Severe_Trauma,71,2,188,28,4,0,38
Heart_Failure,257,2,160,50,8,8,12
Pneumonia,355,4,304,148,4,12,116
Covid,268,1,85,20,4,0,7
Sepsis,144,3,192,147,18,0,15
Covid,407,1,79,28,9,1,11
Severe_Trauma,85,3,60,54,3,3,24
Covid,200,4,300,48,8,16,112
Severe_Trauma,200,2,28,28,6,0,32
Covid,232,3,30,87,3,0,66
Sepsis,190,1,77,17,4,1,22
Covid,58,2,60,38,8,8,40
Stroke,465,3,162,51,21,0,63
Sepsis,406,1,90,38,7,0,7
Sepsis,282,2,98,22,16,0,16
Heart_Failure,60,3,297,123,21,9,75
Stroke,86,1,72,32,7,2,11
Covid,326,2,58,92,6,4,16
Sepsis,403,1,34,32,5,4,11
Heart_Failure,345,1,14,29,9,1,26
Pneumonia,473,4,216,64,24,12,76
Pneumonia,70,1,77,47,3,1,22
Sepsis,434,1,81,37,7,3,16
Sepsis,146,3,213,93,9,6,81
Pneumonia,81,4,96,36,4,0,56
Heart_Failure,423,4,168,80,4,12,92
Pneumonia,158,1,71,31,4,4,23
Covid,119,3,291,84,21,3,27
Heart_Failure,94,3,186,126,24,9,36
Severe_Trauma,402,4,120,176,28,0,92
Covid,127,4,124,120,16,12,84
Pneumonia,498,1,86,27,4,3,22
Stroke,316,3,48,105,21,6,81
Pneumonia,337,2,190,48,4,4,22
Stroke,122,1,33,38,6,2,15
Stroke,164,4,296,124,4,0,100
Severe_Trauma,380,1,43,40,4,0,16
Stroke,312,1,56,20,1,2,9
Severe_Trauma,487,3,120,30,3,0,60
Sepsis,73,3,240,72,24,12,57
Sepsis,125,1,89,22,2,0,23
Covid,198,3,63,117,24,3,72
Severe_Trauma,73,3,153,93,27,6,60
Sepsis,257,2,34,62,14,4,10
Severe_Trauma,154,4,308,164,24,16,76
Covid,200,4,224,152,36,0,20
Pneumonia,138,4,240,72,36,8,52
Heart_Failure,455,4,368,20,8,16,64
Covid,458,3,285,87,15,0,36
Covid,74,3,291,138,27,3,51
Sepsis,75,1,62,5,4,0,28
Sepsis,322,4,52,56,28,8,68
Sepsis,346,3,207,96,27,0,81
Sepsis,361,2,176,70,18,2,18
Sepsis,105,3,234,63,15,12,63
Covid,62,2,164,98,16,6,40
Heart_Failure,111,2,184,52,18,0,22
Severe_Trauma,370,4,372,192,20,0,36
Pneumonia,326,3,171,66,18,6,87
Sepsis,77,4,212,84,24,0,96
Severe_Trauma,69,1,59,20,2,4,19
Stroke,463,1,65,21,1,4,6
Pneumonia,206,1,14,37,6,4,15
Pneumonia,315,4,48,84,4,12,28
Stroke,170,2,134,70,16,0,34
Sepsis,270,1,86,32,6,1,25
Heart_Failure,394,1,95,31,8,1,15
Pneumonia,408,1,89,38,1,4,14
Stroke,106,4,264,160,4,16,100
Pneumonia,207,2,156,58,2,8,52
Stroke,264,3,42,96,24,0,48
Stroke,421,1,39,16,6,1,16
Pneumonia,349,4,140,80,8,16,60
Pneumonia,130,1,61,23,7,2,8
Sepsis,150,2,82,50,8,8,10
Covid,456,4,300,88,12,12,72
Covid,447,4,136,72,36,4,112
Sepsis,484,4,216,128,24,12,20
Sepsis,251,3,192,99,18,3,18
Heart_Failure,120,3,234,126,15,0,69
Covid,142,3,60,87,24,12,81
Heart_Failure,268,3,78,84,9,9,45
Severe_Trauma,347,1,76,25,3,1,29
Heart_Failure,384,3,114,42,9,0,36
Pneumonia,415,3,186,117,15,0,42
Severe_Trauma,78,3,33,54,18,6,72
Sepsis,228,4,256,152,4,8,40
Pneumonia,490,1,63,33,8,0,16
Heart_Failure,365,1,18,23,8,2,13
Stroke,262,3,234,27,27,6,21
Severe_Trauma,344,1,62,45,6,4,24
Sepsis,150,1,66,38,8,4,28
Pneumonia,262,4,300,28,12,12,24
Stroke,221,4,332,24,36,8,104
Heart_Failure,369,3,69,102,12,6,81
Stroke,310,2,110,98,14,0,28
Heart_Failure,440,4,72,44,16,16,100
Stroke,324,4,100,68,4,4,68
Sepsis,497,1,76,6,5,0,25
Covid,495,1,91,24,2,0,21
Pneumonia,196,4,344,160,16,8,20
Stroke,342,4,68,60,20,16,92
Sepsis,77,4,152,24,12,4,112
Pneumonia,236,4,168,60,20,8,88
Sepsis,240,4,288,156,8,4,100
Pneumonia,213,3,195,45,6,3,15
Stroke,255,4,88,40,4,4,108
Stroke,359,4,72,188,20,16,60
Heart_Failure,190,2,74,10,18,4,36
Stroke,373,2,176,68,16,0,24
Sepsis,269,3,189,111,21,6,84
Sepsis,352,2,190,34,18,8,12
Covid,117,2,122,30,8,0,46
Pneumonia,409,2,110,30,12,4,50
Stroke,455,3,267,96,27,9,42
Heart_Failure,98,3,42,60,12,6,18
Covid,278,2,82,76,6,8,48
Stroke,287,4,336,148,36,16,84
Severe_Trauma,438,3,249,135,9,3,45
Heart_Failure,493,4,140,180,20,0,44
Stroke,413,4,96,140,32,4,40
Stroke,271,1,10,24,4,4,13
Covid,349,4,336,112,32,12,48
Pneumonia,53,3,228,120,6,12,75
Stroke,70,1,72,16,9,0,25
Pneumonia,185,2,196,92,4,0,50
Stroke,212,1,95,46,8,3,25
Pneumonia,443,4,140,52,28,8,32
Stroke,488,4,192,80,12,0,112
Stroke,114,2,82,56,14,8,34
Stroke,292,4,136,140,36,0,60
Sepsis,311,3,45,138,9,9,21
Severe_Trauma,409,2,188,98,16,4,46
Severe_Trauma,397,1,25,32,8,3,6
Stroke,340,1,32,48,6,1,7
Severe_Trauma,458,1,92,12,5,2,18
Sepsis,467,4,252,192,28,4,104
Stroke,119,2,76,68,2,4,32
Severe_Trauma,220,3,84,39,12,3,60
Stroke,253,1,39,12,6,4,26
Sepsis,159,2,86,52,16,2,18
Covid,377,3,48,93,21,3,54
Heart_Failure,167,1,79,40,2,3,5
Severe_Trauma,171,1,79,37,5,2,15
Heart_Failure,330,3,231,57,6,0,18
Stroke,50,1,27,18,5,4,13
Sepsis,89,3,279,21,15,12,57
Heart_Failure,451,3,213,132,12,12,60
Covid,447,1,55,12,1,4,26
Pneumonia,443,1,23,11,1,0,22
Sepsis,417,3,189,69,27,6,33
Severe_Trauma,286,4,152,196,20,12,84
Sepsis,496,2,126,48,12,2,24
Severe_Trauma,158,4,368,72,4,0,100
Severe_Trauma,191,2,128,28,4,6,58
Stroke,233,3,54,48,15,9,69
Covid,231,4,56,172,4,16,40
Stroke,225,1,98,17,5,2,23
Stroke,259,1,73,27,3,0,7
Heart_Failure,63,4,352,52,28,0,28
Severe_Trauma,448,1,11,32,3,3,8
Sepsis,203,3,195,63,12,0,24
Stroke,154,4,300,56,20,16,52
Stroke,408,1,20,43,3,0,23
Sepsis,289,1,24,47,2,2,24
Heart_Failure,180,2,114,88,18,6,32
Pneumonia,348,2,196,58,2,0,24
Pneumonia,418,1,12,18,3,1,14
Severe_Trauma,410,2,32,44,12,8,30
Sepsis,382,4,384,48,36,16,112
Stroke,222,1,19,39,7,4,21
Sepsis,113,3,270,51,27,3,18
Stroke,393,1,25,47,6,1,20
Severe_Trauma,133,2,134,54,16,4,52
Heart_Failure,256,4,132,56,20,0,96
Sepsis,261,1,13,13,2,0,9
Sepsis,498,4,232,64,32,4,60
Stroke,194,2,70,58,6,8,40
Sepsis,365,4,316,76,4,12,112
Covid,429,4,140,92,28,16,80
Stroke,283,2,168,50,16,6,36
Pneumonia,227,1,58,34,8,0,27
Severe_Trauma,231,1,94,41,4,4,19
Sepsis,414,3,36,21,6,9,15
Covid,447,4,252,140,20,8,80
Severe_Trauma,264,2,154,98,6,4,48
Heart_Failure,258,2,174,14,10,2,22
Covid,282,1,40,47,3,3,20
Pneumonia,107,4,168,112,32,12,48
Sepsis,454,2,82,42,8,6,48
Sepsis,336,1,85,32,9,3,10
Heart_Failure,125,3,198,123,27,3,75
Severe_Trauma,480,4,136,140,36,16,112
Stroke,321,2,114,24,4,8,34
Heart_Failure,356,3,87,45,12,9,63
Heart_Failure,122,2,34,90,10,4,40
Heart_Failure,358,2,130,30,6,2,38
Heart_Failure,342,3,174,81,21,6,51
Heart_Failure,333,2,166,90,2,0,22
Covid,407,4,296,56,28,8,100
Heart_Failure,165,1,82,9,4,3,19
Sepsis,61,3,270,99,24,3,54
Heart_Failure,236,1,59,31,7,4,7
Sepsis,475,3,186,90,6,6,48
Pneumonia,346,3,54,15,6,9,18
Pneumonia,237,3,219,126,12,12,42
Pneumonia,341,3,231,87,12,0,87
Covid,371,2,190,82,8,0,14
Severe_Trauma,283,4,224,120,32,12,72
Stroke,300,2,182,58,10,6,52
Heart_Failure,279,2,90,60,14,8,24
Severe_Trauma,486,3,129,135,18,0,81
Stroke,378,2,150,28,4,2,10
Pneumonia,268,3,162,60,15,3,30
Covid,300,1,65,43,9,3,8
Sepsis,153,4,168,196,20,0,28
Stroke,486,3,246,144,3,3,87
Covid,294,4,392,164,8,16,64
Severe_Trauma,303,2,58,92,16,6,24
Sepsis,111,4,112,152,20,4,116
Severe_Trauma,430,4,152,92,24,8,112
Stroke,489,4,216,120,28,16,40
Sepsis,306,1,62,42,4,0,8
Sepsis,160,3,156,60,6,0,33
Covid,431,1,84,48,8,1,8
Pneumonia,415,3,78,135,21,9,87
Severe_Trauma,273,4,220,108,24,4,88
Stroke,107,4,272,60,20,0,108
Pneumonia,218,3,198,141,27,0,75
Covid,79,4,192,192,12,8,84
Pneumonia,338,1,81,31,4,4,9
Sepsis,340,2,148,56,4,6,58
Severe_Trauma,454,1,65,7,5,0,21
Covid,170,4,128,40,16,0,52
Stroke,291,2,116,36,8,6,36
Severe_Trauma,269,2,122,64,6,4,18
Covid,208,3,144,36,15,9,69
Pneumonia,466,3,117,39,27,6,72
Stroke,319,3,135,84,27,6,78
Heart_Failure,364,1,53,43,4,4,7
Heart_Failure,99,4,316,96,28,0,116
Heart_Failure,441,2,24,50,2,6,20
Covid,60,1,41,6,2,2,11
Heart_Failure,254,1,58,9,3,0,16
Covid,220,1,58,21,8,0,9
Sepsis,412,2,186,30,14,2,58
Heart_Failure,302,3,264,51,6,12,30
Stroke,397,4,80,92,36,16,28
Sepsis,156,4,40,72,8,4,92
Stroke,499,3,87,129,6,9,21
Severe_Trauma,273,1,86,38,5,3,22
Covid,348,1,35,13,3,4,21
Heart_Failure,457,2,142,20,14,2,26
Severe_Trauma,267,2,46,52,14,0,28
Pneumonia,331,1,72,28,5,1,28
Severe_Trauma,332,1,58,48,6,0,23
Heart_Failure,287,4,372,100,20,16,72
Severe_Trauma,470,2,52,86,2,0,12
Severe_Trauma,442,1,40,49,6,2,9
Pneumonia,193,3,120,147,18,0,75
Pneumonia,167,2,82,46,10,2,10
Covid,420,1,53,13,7,2,22
Heart_Failure,350,4,224,136,20,12,92
Covid,253,4,112,96,24,16,68
Heart_Failure,144,1,62,24,1,4,26
Sepsis,195,4,268,176,24,8,52
Heart_Failure,474,1,21,21,7,0,6
Pneumonia,367,3,99,18,18,6,84
Severe_Trauma,367,4,380,196,12,8,112
Stroke,108,4,372,120,12,4,100
Covid,69,3,102,42,3,3,78
Sepsis,168,2,116,74,14,0,38
Covid,397,1,26,11,8,2,9
Pneumonia,326,2,74,34,18,2,46
Sepsis,151,2,106,26,4,6,26
Stroke,391,2,118,96,16,8,56
Sepsis,304,1,54,39,9,0,28
Severe_Trauma,241,4,132,64,24,4,48
Heart_Failure,58,3,273,36,27,12,51
Heart_Failure,264,1,40,43,7,2,25
Sepsis,219,2,196,86,14,2,44
Covid,175,2,194,28,6,6,12
Sepsis,156,1,64,44,6,1,23
Stroke,476,2,70,32,8,4,14
Sepsis,344,2,192,14,12,0,50
Stroke,183,1,95,23,6,3,27
Covid,444,3,219,87,9,0,45
Heart_Failure,309,2,66,86,2,2,42
Pneumonia,348,2,112,24,12,0,44
Covid,269,3,243,66,24,3,87
Severe_Trauma,367,3,114,48,15,12,45
Heart_Failure,282,3,72,141,18,0,63
Sepsis,454,4,92,180,36,0,88
Pneumonia,484,3,111,15,21,3,81
Stroke,284,2,170,92,10,4,14
Covid,270,2,74,22,4,0,22
Stroke,371,4,116,176,16,0,60
Covid,222,3,234,60,6,12,54
Sepsis,137,2,128,76,8,6,58
Pneumonia,207,4,312,104,12,8,76
Severe_Trauma,444,2,166,30,10,0,52
Covid,67,1,69,19,9,1,10
Sepsis,158,4,268,24,8,16,36
Stroke,66,1,57,36,1,1,29
Severe_Trauma,478,4,276,44,24,0,44
Pneumonia,439,4,392,108,28,8,56
Covid,323,3,144,108,12,3,63
Sepsis,482,4,284,28,16,8,52
Pneumonia,262,4,244,148,12,0,72
Sepsis,290,3,273,108,18,9,69
Stroke,116,4,128,164,36,8,56
Heart_Failure,493,4,168,184,8,4,48
Heart_Failure,313,4,272,184,12,8,24
Severe_Trauma,455,2,132,12,4,8,40
Stroke,415,3,159,132,27,6,72
Sepsis,229,4,396,176,24,8,20
Covid,213,3,252,144,3,12,84
Pneumonia,282,3,96,132,15,3,75
Heart_Failure,415,4,104,144,4,16,100
Stroke,439,2,86,90,18,8,40
Severe_Trauma,139,3,126,117,3,9,75
Stroke,427,3,192,114,15,9,33
Severe_Trauma,371,1,99,29,1,2,10
Severe_Trauma,365,2,148,90,6,2,22
Severe_Trauma,398,1,22,42,3,4,17
Covid,263,4,244,64,32,16,112
Sepsis,112,4,360,108,24,4,60
Severe_Trauma,445,4,308,36,4,12,68
Sepsis,78,1,46,37,2,3,17
Pneumonia,116,3,153,75,9,9,66
Stroke,66,2,186,90,2,8,56
Covid,283,4,308,44,20,4,68
Stroke,467,4,156,20,28,8,56
Covid,441,4,212,188,20,16,108
Sepsis,333,1,13,17,9,4,22
Covid,312,4,296,196,24,0,48
Severe_Trauma,423,4,224,148,16,12,48
Heart_Failure,80,3,93,126,3,6,78
Sepsis,384,3,42,33,9,3,51
Severe_Trauma,492,3,33,69,9,3,45
Sepsis,106,3,69,42,15,12,33
Covid,85,3,75,111,18,9,54
Severe_Trauma,411,1,28,25,6,0,14
Stroke,92,3,156,33,15,0,30
Covid,209,1,63,44,7,1,17
Heart_Failure,68,1,24,7,9,4,27
Sepsis,167,3,168,36,6,0,15
Severe_Trauma,491,3,30,111,21,0,36
Sepsis,56,3,297,111,24,9,63
Severe_Trauma,54,1,34,27,7,4,7
Covid,135,4,260,148,16,0,60
Stroke,380,4,344,184,24,12,84
Severe_Trauma,456,3,69,132,24,0,27
Pneumonia,341,4,344,180,12,0,80
Stroke,234,2,146,76,4,0,42
Pneumonia,403,2,94,78,16,0,38
Sepsis,308,1,73,11,9,3,26
Severe_Trauma,135,2,36,28,8,6,46
Severe_Trauma,438,4,368,112,32,16,52
Covid,298,2,198,40,8,6,46
Covid,94,2,40,60,12,6,28
Severe_Trauma,354,4,372,64,32,8,32
Sepsis,177,3,237,105,21,0,78
Severe_Trauma,158,3,123,75,27,3,33
Severe_Trauma,221,4,232,52,16,4,20
Covid,50,2,114,14,8,2,36
Sepsis,471,1,66,49,7,1,19
Severe_Trauma,243,3,60,90,12,0,63
Pneumonia,253,2,180,86,12,0,58
Stroke,270,2,184,74,4,8,50
Sepsis,127,3,135,117,3,12,72
Sepsis,334,3,138,141,18,3,27
Heart_Failure,388,3,171,102,9,12,21
Pneumonia,128,3,156,99,18,3,21
Severe_Trauma,433,1,51,6,8,2,10
Stroke,473,2,88,34,16,6,46
Covid,147,4,372,188,24,0,100
Stroke,399,3,144,132,9,0,33
Severe_Trauma,161,2,20,90,16,4,18
Sepsis,103,3,39,54,24,3,39
Stroke,419,2,168,38,12,4,58
Stroke,266,1,98,37,8,1,5
Severe_Trauma,333,3,267,99,27,12,45
Covid,411,3,171,48,18,0,78
Sepsis,342,4,316,148,16,4,52
Heart_Failure,248,1,56,36,9,0,20
Covid,404,2,124,10,2,0,18
Sepsis,334,4,48,28,20,4,80
Covid,345,3,174,18,24,6,30
Stroke,435,2,164,26,4,2,32
Sepsis,343,1,20,21,1,0,21
Severe_Trauma,146,2,20,40,2,8,38
Stroke,114,4,176,120,24,0,112
Pneumonia,442,3,294,126,3,6,84
Pneumonia,443,4,120,64,16,8,96
Sepsis,353,1,61,13,3,0,28
Stroke,170,1,48,13,1,3,23
Heart_Failure,306,3,69,57,12,6,60
Sepsis,194,2,102,92,8,0,46
Covid,79,4,116,76,24,8,108
Severe_Trauma,378,1,12,38,9,4,27
Severe_Trauma,70,2,176,66,4,6,38
Heart_Failure,147,4,380,176,24,4,96
Covid,236,1,65,47,1,4,21
Heart_Failure,83,4,88,116,20,8,28
Severe_Trauma,171,4,272,144,4,0,44
Covid,82,4,56,32,24,12,44
Severe_Trauma,411,3,42,138,21,9,72
Pneumonia,392,4,68,156,20,12,88
Covid,220,2,176,82,18,4,14
Pneumonia,96,1,75,49,1,4,14
Severe_Trauma,395,3,36,141,12,9,15
Sepsis,214,1,69,11,7,3,13
Severe_Trauma,403,2,138,40,6,2,50
Pneumonia,286,1,61,40,9,2,15
Heart_Failure,470,3,228,69,27,3,57
Stroke,111,1,19,33,2,0,11
Sepsis,470,3,75,63,6,0,42
Stroke,279,2,58,58,6,4,44
Stroke,101,2,188,88,12,8,34
Heart_Failure,239,3,105,93,24,6,57
Severe_Trauma,238,2,54,92,4,6,38
Stroke,134,3,297,33,18,3,63
Pneumonia,64,4,360,164,12,8,104
Sepsis,469,2,62,86,16,6,44
Stroke,245,3,297,75,27,3,54
Severe_Trauma,284,2,196,16,4,6,52
Stroke,351,1,57,24,6,0,24
Stroke,492,4,296,56,28,4,52
Heart_Failure,467,1,79,19,9,0,12
Covid,60,3,150,39,24,6,24
Pneumonia,346,4,180,128,12,12,68
Severe_Trauma,159,2,194,12,2,0,18
Stroke,132,2,138,62,2,8,46
Severe_Trauma,81,2,54,16,8,8,32
Stroke,460,2,126,32,4,4,20
Stroke,329,4,80,144,12,16,108
Pneumonia,458,2,78,88,2,2,26
Severe_Trauma,197,2,30,72,2,6,44
Sepsis,286,3,57,39,27,9,63
Sepsis,227,4,328,148,20,0,28
Heart_Failure,470,2,174,78,10,0,36
Severe_Trauma,481,1,37,34,3,4,14
Heart_Failure,465,3,222,87,18,9,54
Severe_Trauma,178,3,87,48,24,6,60
Heart_Failure,310,1,46,33,8,4,18
Severe_Trauma,200,4,276,188,36,8,68
Pneumonia,410,3,162,69,27,3,72
Pneumonia,307,1,95,13,1,1,5
Severe_Trauma,362,1,32,26,5,1,19
Sepsis,479,3,162,138,15,9,69
Covid,116,3,174,120,3,3,84
Heart_Failure,421,4,360,156,32,12,92
Heart_Failure,227,4,56,140,20,0,112
Heart_Failure,266,2,184,60,16,6,52
Heart_Failure,101,3,72,141,12,6,51
Severe_Trauma,473,4,308,144,4,16,88
Stroke,317,4,92,160,28,0,36
Heart_Failure,261,2,146,74,2,4,40
Stroke,152,4,136,184,12,12,80
Heart_Failure,236,1,82,16,9,0,15
Covid,240,3,273,135,24,12,42
Covid,364,3,183,66,3,9,21
Sepsis,135,1,17,49,1,2,9
Stroke,52,2,170,52,18,2,26
Severe_Trauma,401,3,228,102,12,9,33
Covid,313,4,384,60,24,4,64
Covid,126,3,138,39,27,12,66
Heart_Failure,134,1,80,37,5,4,20
Pneumonia,145,1,54,37,7,1,11
Sepsis,133,4,276,120,24,0,44
Pneumonia,344,2,158,22,6,6,10
Heart_Failure,438,4,212,192,28,16,28
Pneumonia,217,4,260,156,24,8,20
Stroke,278,1,77,26,5,1,28
Heart_Failure,247,4,80,92,24,12,88
Covid,213,1,57,35,7,1,7
Stroke,79,3,84,30,15,6,60
Heart_Failure,128,1,36,23,3,1,25
Sepsis,490,2,82,32,10,6,16
Sepsis,138,2,146,70,10,2,20
Heart_Failure,104,4,80,120,28,16,104
Heart_Failure,125,2,126,66,12,0,28
Severe_Trauma,301,4,224,136,24,8,84
Heart_Failure,450,4,184,112,24,4,64
Sepsis,428,2,90,94,8,4,22
Severe_Trauma,162,2,90,28,2,4,56
Heart_Failure,114,4,296,80,12,4,104
Severe_Trauma,417,1,55,23,4,0,15
Severe_Trauma,81,2,136,64,16,6,48
Covid,65,1,64,24,5,3,21
Pneumonia,309,3,93,39,18,3,84
Covid,335,3,159,63,15,0,45
Severe_Trauma,317,2,174,62,10,6,44
Sepsis,389,4,396,116,32,12,32
Sepsis,193,3,252,30,3,9,60
Sepsis,173,3,288,117,15,3,18
Covid,177,2,184,46,10,8,40
Covid,300,4,236,180,20,12,104
Severe_Trauma,120,4,164,156,32,0,40
Severe_Trauma,345,2,166,60,14,4,54
Severe_Trauma,231,1,16,26,7,0,22
Covid,382,2,162,30,8,0,32
Covid,93,2,24,42,18,6,40
Severe_Trauma,410,1,81,14,8,0,19
Stroke,154,1,94,26,3,2,17
Pneumonia,75,1,23,17,6,1,22
Severe_Trauma,470,3,222,138,12,6,30
Stroke,348,1,82,5,8,3,9
Heart_Failure,94,1,42,31,4,2,11
Sepsis,226,4,68,100,16,16,60
Sepsis,260,3,270,138,3,3,72
Severe_Trauma,393,3,171,126,3,12,18
Heart_Failure,454,1,64,27,2,2,29
Sepsis,483,4,40,84,20,12,40
Stroke,66,1,40,13,4,4,16
Severe_Trauma,203,1,71,7,1,1,12
Heart_Failure,301,1,24,19,2,4,17
Covid,378,2,58,96,12,6,26
Covid,296,3,126,111,3,9,51
Heart_Failure,423,4,132,184,28,0,84
Pneumonia,281,3,141,48,12,0,54
Heart_Failure,488,1,41,41,6,1,9
Stroke,468,3,276,114,6,0,60
Sepsis,154,2,38,42,14,6,36
Pneumonia,211,3,51,63,3,12,45
Severe_Trauma,407,1,51,10,3,2,29
Covid,499,1,36,40,3,2,9
Pneumonia,59,1,41,5,1,0,27
Pneumonia,96,1,24,16,8,4,12
Severe_Trauma,413,3,225,120,9,6,36
Pneumonia,378,1,36,42,4,2,22
Heart_Failure,434,3,231,123,15,6,30
Sepsis,113,4,40,120,16,4,116
Pneumonia,461,4,164,72,16,4,36
Sepsis,401,2,118,20,4,6,52
Sepsis,96,1,19,41,7,3,24
Heart_Failure,136,1,48,20,2,1,10
